2026-04-28 14:30:12,008 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=11806 signal_id=- detail=Predicted move magnitude 2.8 pips below minimum 15.0
2026-04-28 14:35:00,027 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:35:00.026332+00:00
2026-04-28 14:35:07,996 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=7930 signal_id=- detail=Predicted move magnitude 3.4 pips below minimum 5.0
2026-04-28 14:40:00,005 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:40:00.005794+00:00
2026-04-28 14:40:07,122 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=7099 signal_id=sig_45c6498dc9 detail=EURUSD H1 BUY
2026-04-28 14:45:00,006 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:45:00.005989+00:00
2026-04-28 14:45:00,132 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:45:00.132359+00:00
2026-04-28 14:45:11,816 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=6473 signal_id=- detail=Predicted move magnitude 3.5 pips below minimum 5.0
2026-04-28 14:45:11,817 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=11666 signal_id=- detail=Predicted move magnitude 7.7 pips below minimum 15.0
2026-04-28 14:50:00,001 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:50:00.001318+00:00
2026-04-28 14:50:07,289 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=7276 signal_id=sig_a53a9db8b2 detail=EURUSD H1 SELL
2026-04-28 14:55:00,007 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T13:55:00.007430+00:00
2026-04-28 14:55:06,729 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=6706 signal_id=sig_6422d448ef detail=EURUSD H1 SELL
2026-04-28 15:00:00,002 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:00:00.002623+00:00
2026-04-28 15:00:00,136 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:00:00.136122+00:00
2026-04-28 15:00:04,554 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=4536 signal_id=- detail=Predicted move magnitude 4.2 pips below minimum 5.0
2026-04-28 15:00:08,463 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=8252 signal_id=- detail=Predicted move magnitude 1.4 pips below minimum 15.0
2026-04-28 15:05:00,002 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:05:00.002482+00:00
2026-04-28 15:05:06,998 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=6976 signal_id=- detail=Predicted move magnitude 3.4 pips below minimum 5.0
